Language	English
TBook_Scroll_9_3_woes_moor_1_0	Indent>A Bruxa disse que os espantalhos presos a esses postes estão vivos e, no começo, não acreditei nela, mas agora, depois de dias vigiando um deles, não sei mais no que acreditar. Ontem, um casal de pássaros pousou na cabeça do espantalho e eu poderia jurar que vi ele se mover para tentar agarrá-los! Peguei minha espada imediatamente e ataquei o monstro, mas ele continuou sem se mover, sem responder às minhas investidas...
TBook_Scroll_9_3_woes_moor_1_Extended_0	Indent>A Bruxa disse que os espantalhos presos a esses postes estão vivos e, no começo, não acreditei nela, mas agora, depois de dias vigiando um deles, não sei mais no que acreditar. Ontem, um casal de pássaros pousou na cabeça do espantalho e eu poderia jurar que vi ele se mover para tentar agarrá-los! Peguei minha espada imediatamente e ataquei o monstro, mas ele continuou sem se mover, sem responder às minhas investidas...
TBook_Scroll_9_3_woes_moor_1_Extended_1	.
TBook_Scroll_9_3_woes_moor_1_Extended_2	Bold>Solução do Quebra-cabeça
TBook_Scroll_9_3_woes_moor_1_Extended_3	Indent>Eu não estava louco! Os espantalhos estão mesmo vivos, mas eles reagem apenas aos pássaros. Sabendo disso, fiz um mapa que mostra os postes e a posição dos espantalhos e dos corvos. Note que, em alguns casos, você terá que usar mais de um bando de pássaros para fazer pelo menos um deles ir pelo caminho certo.
TBook_Scroll_9_3_woes_moor_1_Extended_Title	Dica do Manuscrito
TBook_Scroll_9_3_woes_moor_1_Title	Dica do Manuscrito
TBook_Scroll_9_3_woes_moor_2_0	Indent>Esta terra já foi repleta de vida e beleza. Mas agora, olhe para ela. O cheiro da morte está por toda parte. Os espantalhos veem tudo, e ouvi que os corvos de Malphas vigiam este lugar e depois informam sua senhora. Uma antiga lenda conta que uma Bruxa matou o namorado de Malphas, que então lhe jurou vingança. Será que o antigo corvo ainda vive ou será que é mais uma assustadora história de ninar?
TBook_Scroll_9_3_woes_moor_2_Title	História do Cavaleiro da Irmandade
TBook_Scroll_9_3_woes_moor_3_0	Indent>Vi minha morte, e ela é realmente terrível. Mas o que me conforta é que meus sonhos me dizem que alguém irá triunfar e derrotar o Senhor das Sombras. Fico imaginando se ele já começou sua jornada nesta terra, acabando com aqueles que destruiriam tudo o que amamos. Se começou, que Deus o acompanhe, meu amigo. Mate e continue matando em nome do Pai, do Filho e do Espírito Santo. Que todos aqueles que se colocam no caminho do Senhor sintam sua ira!
TBook_Scroll_9_3_woes_moor_3_Title	História do Cavaleiro da Irmandade
TBook_Scroll_9_3_woes_moor_4_0	Indent>Complete a fase com as três chaves assustando os corvos apenas 13 vezes
TBook_Scroll_9_3_woes_moor_4_Title	Descrição da Prova
TBook_Scroll_9_4_1_the_music_box_1_0	Indent>Caixa de Música Mk.III - instruções de uso:
TBook_Scroll_9_4_1_the_music_box_1_1	Indent>Para fazer a manutenção, é possível controlar os mecanismos dentro da caixa utilizando a máquina central. Ao mover-se pelos corredores, certifique-se de que os cilindros de música estejam colocados na ordem correta. Lembre-se de verificar a decoração de cada corredor antes de usar os cilindros.
TBook_Scroll_9_4_1_the_music_box_1_2	Indent>Por questões de segurança, mantenha as crianças longe da Caixa de Música Mk. III
TBook_Scroll_9_4_1_the_music_box_1_Extended_0	Indent>Caixa de Música Mk.III - instruções de uso:
TBook_Scroll_9_4_1_the_music_box_1_Extended_1	Indent>Para fazer a manutenção, é possível controlar os mecanismos dentro da caixa utilizando a máquina central. Ao mover-se pelos corredores, certifique-se de que os cilindros de música estejam colocados na ordem correta. Lembre-se de verificar a decoração de cada corredor antes de usar os cilindros.
TBook_Scroll_9_4_1_the_music_box_1_Extended_2	Indent>Por questões de segurança, mantenha as crianças longe da Caixa de Música Mk. III
TBook_Scroll_9_4_1_the_music_box_1_Extended_3	.
TBook_Scroll_9_4_1_the_music_box_1_Extended_4	Bold>Solução do Quebra-cabeça
TBook_Scroll_9_4_1_the_music_box_1_Extended_5	Indent>Apêndice: A rosa azul está do outro lado da caixa. Para alcançá-la, use a seguinte sequência de cilindros de música: Vermelho, Azul, Magenta e Verde. Não se esqueça de verificar o mapa em anexo
TBook_Scroll_9_4_1_the_music_box_1_Extended_Title	Dica do Manuscrito
TBook_Scroll_9_4_1_the_music_box_1_Title	Dica do Manuscrito
TBook_Scroll_9_4_1_the_music_box_4_0	Indent>Complete a fase pegando a rosa azul sem cair em nenhuma das armadilhas da caixa musical
TBook_Scroll_9_4_1_the_music_box_4_Title	Descrição da Prova
TBook_Skill_Unlocked	Você destravou novas habilidades no seu Livro de Viagem.
TBook_DarkGems_Upgrade	Você preencheu seu Medalhão de Gemas das Sombras, aprimorando sua potência de magia.
TBook_LightGems_Upgrade	Você preencheu seu Medalhão de Gemas da Luz, aprimorando sua potência de magia.
TBook_LifeGems_Upgrade	Você preencheu seu Medalhão de Gemas da Vida, aprimorando sua potência de magia.
TBook_Text_AdvancedMoves	Movimentos Avançados
TBook_Text_BasicActions	Ações Básicas
TBook_Text_Bosses	Chefões
TBook_Text_FocusMode	Modo de Concentração
TBook_Text_MainChars	Personagens Principais
TBook_Text_Monsters	Monstros
TBook_Text_RelicPowers	Poderes das Relíquias
TBook_Text_SecondaryWeapons	Armas Secundárias
TBook_Title_Actions	Habilidades
TBook_Title_Chars	Personagens
TBook_Title_Items	Itens
TBook_Tutorial_Introduction	Este é seu Livro de Viagem. Use-o para comprar novas habilidades e movimentos de combate. Confira o inventário e descubra informações úteis sobre o mundo de Castlevania e seus habitantes.
TBook_Tutorial_IntroductionPress	Aperte [[CROSS]] para continuar
TBook_Tutorial_SelectTargetCategory	Use o analógico esquerdo para selecionar 'Movimentos Avançados.
TBook_Tutorial_OpenTargetAction	Aperte [[CROSS]] para selecionar %s.
TBook_Tutorial_SelectTargetAction	Agora selecione '%s' na página direita.
TBook_Tutorial_GoBack	Aperte %s para voltar à página anterior.
TBook_Tutorial_CloseWarning	Há um novo movimento de combate disponível para compra. Tem certeza que deseja sair do Livro de Viagem?
TBook_Tutorial_CloseWarningOptions	%s Sim        %s Não
TBook_Tutorial_SelectTab	.
PS3_TBook_Tutorial_SelectTab	Você ainda tem um movimento de combate para comprar na página de Habilidades. Acesse a página pressionando L1.
CHUPACABRA_000	Chupacabra>Quente, quente!
CHUPACABRA_001	Chupacabra>Fumacê
CHUPACABRA_002	Chupacabra>QUENTE!
CHUPACABRA_003	Chupacabra>Cooee... Aqui!
CHUPACABRA_010	Chupacabra>Morno...
CHUPACABRA_011	Chupacabra>Tá esquentando
CHUPACABRA_012	Chupacabra>Hmmm... Morno
CHUPACABRA_013	Chupacabra>Tão perto... Mas tão longe!
CHUPACABRA_020	Chupacabra>Frio... Muito frio!
CHUPACABRA_021	Chupacabra>Congelando... Brrr
CHUPACABRA_022	Chupacabra>Rá rá... Brrrrrr
CHUPACABRA_023	Chupacabra>Friozinho... Friozinho
CHUPACABRA_100	Chupacabra>Olá... Olá!
CHUPACABRA_101	Chupacabra>Rá rá... Cego é você!
CHUPACABRA_102	Chupacabra>Aqui, macaquinho!
CHUPACABRA_103	Chupacabra>Escaldante!
CHUPACABRA_110	Chupacabra>Óculos precisa você!
CHUPACABRA_111	Chupacabra>Não muito perto... Não tão longe...
CHUPACABRA_112	Chupacabra>Hmmm... Ainda aí?
CHUPACABRA_113	Chupacabra>Morno... Sim, sim! Hehe!
CHUPACABRA_120	Chupacabra>Zzzz
CHUPACABRA_121	Chupacabra>(Bocejo)
CHUPACABRA_122	Chupacabra>Hehe! Frio, frio... FRIO!
CHUPACABRA_123	Chupacabra>Frio como gelo!
CHUPACABRA_200	Chupacabra>Na sua frente... Tá me enxergando????
CHUPACABRA_201	Chupacabra>Míope é você??
CHUPACABRA_202	Chupacabra>QUENTE! Quente...!
CHUPACABRA_203	Chupacabra>Rá rá... Me encontrou!
CHUPACABRA_210	Chupacabra>Venha, venha, no meio do caminho!
CHUPACABRA_211	Chupacabra>Hehe! Não estou aí!
CHUPACABRA_212	Chupacabra>Rá rá... Qual é, procure direito!
CHUPACABRA_213	Chupacabra>Morno... Quentinho
CHUPACABRA_220	Chupacabra>Burro é você!
CHUPACABRA_221	Chupacabra>Frioooo...
CHUPACABRA_222	Chupacabra>(Tremor)
CHUPACABRA_223	Chupacabra>Tão longe... Longe... Longe... Hehehe!
Babba_Off_Msg_1	Witch>Encontre Rosa Azul pra Baba!
Babba_Off_Msg_2a	Witch>Hahahiaa...
Babba_Off_Msg_2b	Witch>Hihihi...
Babba_Off_Msg_2c	Witch>Hihihaha... hahaha!
Babba_Off_Msg_2d	Witch>Hihi... azul... azul... rosas!
Babba_Off_Msg_2e	Witch>Hahaha... azuul...
Babba_Off_Msg_2f	Witch>Rosas! Hahaha... rosas!
Babba_Off_Msg_3	Witch>Muitos cavaleiros ajuda Baba, antes de você... sim, sim, muitos...
Babba_Off_Msg_4	Witch>Eram tão saborosos... cavaleiros muito bons
Babba_Off_Msg_5	Witch>A Baba sabia que você viria...
Babba_Off_Msg_6	Witch>Você tem toda a música! Agora, encontra rosa azul pra Baba!
Babba_Off_Msg_7	Witch>Sim, meu bom cavaleiro! Rosa azul está lá!
Babba_Off_Msg_8	Witch>Hehehe... perigosa é a caixa de música!
Babba_Off_Msg_9	Witch>Você vive...? Sim, vive! Bom, bom...
Babba_Off_Msg_10	Witch>Você não é tão bom quanto ele disse que seria! Ele disse que você seria digno!
Vamp_Elite_A_Taunt_1	Elite_Vampire>Vou beber seu sangue esta noite, guerreiro!
Vamp_Elite_A_Taunt_2	Elite_Vampire>Matá-lo será ainda mais fácil do que abater aqueles habitantes aldeões!
Vamp_Elite_A_Taunt_3	Elite_Vampire>Você morrerá aqui, assim como seus irmãos!
Vamp_Elite_A_Taunt_4	Elite_Vampire>Quero ver você desviar disso!
Vamp_Elite_B_Taunt_1	Elite_Vampire>Como ousa desafiar minha Senhora?
Vamp_Elite_B_Taunt_2	Elite_Vampire>Minha Senhora ficará contente quando eu levar sua cabeça para ela!
Vamp_Elite_B_Taunt_3	Elite_Vampire>A Senhora das Trevas te observa!
Silver_Warrior_Taunt_1	Silver_Warrior>Vamos ver o quão poderoso você é sem sua magia!
Silver_Warrior_Taunt_2	Silver_Warrior>Vamos! Ataque-me, Gabriel!
Silver_Warrior_Taunt_3	Silver_Warrior>Solte sua raiva... sua raiva!
Silver_Warrior_Taunt_4	Silver_Warrior>Prove-me que você está pronto!
Silver_Warrior_Taunt_5	Silver_Warrior>Não se reprima, lute!
Silver_Warrior_Taunt_6	Silver_Warrior>Tome de volta seu precioso poder de Luz!
Silver_Warrior_Taunt_7	Silver_Warrior>Isso é o melhor que você pode fazer?
Silver_Warrior_Taunt_8	Silver_Warrior>Você não é o único com energia mágica, Gabriel!
Silver_Warrior_Taunt_9	Silver_Warrior>Você não pode contra-atacar a Luz com Luz, seu tolo!
Silver_Warrior_Taunt_10	Silver_Warrior>Use sua magia com sabedoria, Gabriel!
Silver_Warrior_Taunt_11	Silver_Warrior>Você também precisará da magia sombria para vencer, tome!
Silver_Warrior_Taunt_12	Silver_Warrior>A Luz e as Sombras são as chaves para me derrotar!
Silver_Warrior_Taunt_13	Silver_Warrior>Você não vencerá até aprender que Luz e Sombras são os dois lados da mesma moeda!
Silver_Warrior_Taunt_14	Silver_Warrior>Você não percebeu que a Luz e as Sombras anulam uma a outra?
Silver_Warrior_Taunt_15	Silver_Warrior>Você não estará pronto para cumprir seu destino se não me matar!
Lycan_Dark_Lord_Human_Taunt_0	Lycan_DarkLord>Sou Cornell, o Senhor dos Lycans!
Lycan_Dark_Lord_Human_Taunt_1	Lycan_DarkLord>Isso é o melhor que a Irmandade pode oferecer?
Lycan_Dark_Lord_Human_Taunt_2	Lycan_DarkLord>Suas habilidades nem se comparam com as minhas!
Lycan_Dark_Lord_Human_Taunt_3	Lycan_DarkLord>Você se considera mesmo um 'guerreiro'?
Lycan_Dark_Lord_Human_Taunt_4	Lycan_DarkLord>Você não tem chance contra mim!
Lycan_Dark_Lord_Beast_Taunt_1	Lycan_DarkLord>Vou adorar desmembrá-lo, Belmont!
Lycan_Dark_Lord_Beast_Taunt_2	Lycan_DarkLord>Meus filhos farão um banquete com seu cadáver assim que eu acabar com você!
Lycan_Dark_Lord_Beast_Taunt_3	Lycan_DarkLord>Vou esmagá-lo como o inseto que você é!
Lycan_Dark_Lord_Beast_Taunt_4	Lycan_DarkLord>De hoje você não passa!
Vampire_Human_Dark_Lord_Taunt_1	Vampire_Queen>Ide, meus filhos! Bebam seu sangue!
Vampire_Human_Dark_Lord_Taunt_2	Vampire_Queen>Não resista... torne-se um de nós!
Vampire_Human_Dark_Lord_Taunt_3	Vampire_Queen>Jure lealdade a mim e talvez eu poupe sua vida!
Vampire_Human_Dark_Lord_Taunt_4	Vampire_Queen>Você conhecerá a dor, Gabriel!
Vampire_Monster_Dark_Lord_Taunt_1	Vampire_Queen>Veja o verdadeiro poder de um Senhor das Trevas!
Vampire_Monster_Dark_Lord_Taunt_2	Vampire_Queen>Você se arrependerá por me rejeitar, Gabriel!
Vampire_Monster_Dark_Lord_Taunt_3	Vampire_Queen>Humano arrogante... você acha mesmo que pode me derrotar?
Vampire_Monster_Dark_Lord_Taunt_4	Vampire_Queen>Olhe para a Carmilla... não sou linda?
Satan_Taunt_1	Satan>O Pan não ensinou nada a você?
Satan_Taunt_2	Satan>Abaixe sua arma e terei piedade!
Satan_Taunt_3	Satan>Curve-se diante de mim, é Satã quem ordena!
Satan_Taunt_4	Satan>Deus não te ama! Ele deixou sua amada morrer!
Satan_Taunt_5	Satan>Você foi enganado, Gabriel! Ela se foi para sempre!
Satan_Taunt_6	Satan>Você com certeza pode lutar melhor, Gabriel!
Satan_Taunt_7	Satan>Impossível! Seria... este... o poder de Deus?
Satan_Taunt_8	Satan>Morra Belmont!
Satan_Taunt_9	Satan>Vou varrer o nome Belmont deste mundo! Para sempre!
Satan_Taunt_10	Satan>Você acha que pode me derrotar!
Satan_Taunt_11	Satan>Maldito seja, Gabriel!
Satan_Taunt_12a	Satan>Não! Fique longe de mim!
Satan_Taunt_12b	Satan>Não! Fique longe de mim!
Satan_Taunt_12c	Satan>Não! Fique longe de mim!
Menu_Loading	Carregando...
Menu_Loading_1_1_besieged_village	Uma tempestade está chegando. A humanidade enfrenta a ruína e o desespero. O mundo está mudando, mas ainda assim há esperança no coração das pessoas. Nós continuamos vivendo normalmente, sem saber que existem forças que podem mudar o nosso destino para sempre: somos alienados, ignorantes como ovelhas rumo ao abatedouro. Esta noite do ano 1047 do Senhor marca o início da nossa jornada: uma jornada à escuridão, à loucura. Eu o observo das trevas. É ele o escolhido? Ele já progrediu muito até aqui, mas ainda há de ser testado: testado até os limites da resistência humana... e além. Nesta noite ele cavalga em busca dos antigos deuses, armado com um amuleto que o trouxe até aqui: hoje à noite ele começa sua jornada ao esquecimento.
Menu_Loading_1_4_haunting_path	Eu o sigo para dentro da antiga floresta, observando de longe: ele é mesmo forte. O Deus único vem para expulsar a muitos, mas aqui neste lugar a influência Dele é mínima e tênue. Os antigos deuses ainda reinam aqui. Poucos ousam ir tão longe floresta adentro. Ele é perturbado por sonhos, sonhos que corroem sua própria alma. Ele descansará à noite, mas o descanso não virá facilmente. A batalha o enfraqueceu, mas ele sabe que o sonho retornará. E embora não tema nada nesta Terra, ainda assim seus pesadelos enfraquecem sua força interior, deixando um aperto frio em seu coração. Amanhã ele seguirá pelo velho caminho de caça, mas enquanto... ele sonha.
Menu_Loading_1_5_swamp	Sozinho novamente, acompanhado apenas de seus pensamentos, ele continua em sua jornada para encontrar a quem procura. Quem ou o que era aquela estranha criatura? Há uma energia aqui, conhecida por poucos, um poder que pode ter alguma influência sobre os acontecimentos. Quem sabe o guardião do lago esteja ciente dele agora e possa auxiliá-lo em sua busca? Resta ainda a ser resolvido o pequeno problema do Brejo Morto, um lugar que já tirou a vida de muitos homens da Irmandade. O cheiro de morte é forte aqui, e o perigo espreita em cada esquina. Mas nada irá detê-lo... nada ficará em seu caminho.
Menu_Loading_1_7_pans_temple	O fedor do brejo desaparece na memória, e uma terra de grande beleza aparece diante dele, um paraíso onde a natureza vive em harmonia com todos os seres vivos, um verdadeiro refúgio àqueles que buscam por isso. Ele está perto agora, perto dos antigos deuses e dos antigos costumes. Há muito esquecido pelos homens, este reino já foi reverenciado por todos. Agora, contudo, resta apenas uma pequena parte dele. E em breve até esta parte desaparecerá. O amuleto sente seu mestre: sua jornada está perto do fim. Ele precisará de toda sua força agora, de toda sua inteligência caso queira ser bem-sucedido aqui, caso queira convencer o antigo deus a ajudá-lo.
Menu_Loading_1_9_oblivion_lake	O teste o deixou abalado. Vejo a dúvida em seus olhos à medida que ele vai em direção ao lago. Então Pan está a ajudá-lo agora? Isso é bom. Talvez seja um bom sinal. Fico imaginando se ele sabe o que o aguarda naquele lugar onde os mortos podem contatar os vivos. Está frio agora. Vejo que o vento frio atravessa seu coração. Sinta! Ele precisará de ajuda caso queira ser bem-sucedido. Ele não pode falhar. Ele não falhará, não agora... não enquanto isso depender de mim.
Menu_Loading_2_2_enchanted_forest	Nós trilhamos caminhos diferentes, ele e eu. Meus instintos me dizem que ele está cheio de esperança, uma esperança que sempre o levará adiante. Bom. Talvez ele seja o escolhido, um guerreiro de coração puro capaz de nos livrar de todo o mal... talvez. Fico imaginando o que se passou em sua cabeça quando ele a viu lá, sua amada. Será que ele viu aquilo que sonhava ou viu seu futuro sendo levado para longe, como folhas ao vento? Fico à espreita dele enquanto ele se afasta da influência de Pan. Há uma floresta ao leste que leva à terra dos Lycans. Lá estão as decadentes e esquecidas ruínas de uma antiga civilização. Antiga prova da visão e do engenho do homem, hoje elas não passam de mais uma conquista da Natureza, que reivindica para si todas as coisas do mundo.
Menu_Loading_2_3_underground_cave	Ele está se tornando cada vez mais forte a cada passo que dá: sua coragem no campo de batalha é inegável. Ele vai precisar de coragem agora. Os Goblins são uma coisa, mas há outras criaturas nos cantos mais escuros do mundo, criaturas que desconhecem sua situação, mas que lutam por sua própria sobrevivência. Muitos irmãos que tombaram são testemunhas disto: sim, seus ossos esbranquiçados servem de adorno aos túneis tortuosos deste lugar esquecido por Deus. Ele corre sempre em direção ao perigo. Quem é a caça e quem é o caçador? Quem sabe quando chegar a hora dessas criaturas elas conheçam o medo ao olhar nos olhos de sua presa. Vá, meu amigo, vá salvar seu amor!
Menu_Loading_2_4_labyrinth_entrance	Então ele encontrou outra das melhorias de Gandolfi? Que inesperado, tomara que seja útil nos desafios que vêm por aí. A cidade perdida de Agharta se apresenta à sua frente Pergunto-me se você realmente sabe o que está à sua frente, Gabriel... o que será que Deus reservou para você? A terra dos Lycans! Esta cidade arruinada pertence agora ao Senhor deles, e você pode ter certeza de que ele não vai permitir sua passagem sem antes confiscar sua vida. Mas você precisa derrotá-lo para trazê-la de volta, meu amigo. Você precisa esmagá-lo na poeira, como o inseto que ele é.
Menu_Loading_2_6_underground_dungeons	Esta antiga cidade tem muitas camadas, cada uma servindo como fundamento para outra. É um labirinto emaranhado de passagens esquecidas e becos sem saída. O perigo espreita em cada esquina. Ele tem demonstrado grande resistência, mas esta jornada vai levar muito mais tempo do que o esperado, levando-o por profundezas não exploradas há séculos pelo homem. Ele precisará fazer uso de toda sua inteligência para encontrar uma rota alternativa para o centro da Cidade... onde seu destino o aguarda!
Menu_Loading_2_7_labyrinth_ruins_ii	Agharta já foi uma das maiores cidades do mundo antigo, mas não tardou a cair sob o ataque do Senhor dos Lycans. Havia inúmeros Lycans, e a cidade foi totalmente arrasada. As Guerras Necromânticas, como eram conhecidas, destruíram as avançadas tecnologias que os Aghartianos guardavam a sete chaves. Os Titãs acabaram tombando, e então as pessoas foram massacradas, uma a uma, ou transformadas em bestas submissas ao seu novo conquistador. Não restou ninguém para contar a história...
Menu_Loading_2_8_dark_dungeon	Quem é esta estranha garota? Ela certamente não sobreviveria sozinha neste buraco dos infernos. Gabriel a segue pelas profundezas da cidade. Para onde será que ela o leva? É estranho. Não ouço palavra alguma, mas ainda assim parece que Gabriel está se comunicando com ela de alguma forma... Algo me diz que ela tem um papel a desempenhar nesta história...
Menu_Loading_2_8_stone_idol_mausoleum	O Destino jogou seus dados, e agora a sorte está lançada. Eu sabia que essa criança teria algum papel nessa história, e parece que agora Gabriel finalmente encontrou ajuda. Isso um bom presságio para nossa busca. O Golem que protege a menina tem algo que poderia ser muito útil no futuro... algo inesperado até então. Meu caro amigo, vejo seu destino diante de mim, e ele é realmente terrível. Ainda assim, tenho confiança de que tudo se dará conforme eu havia previsto.
Menu_Loading_2_9_stone_idol_temple	Os três companheiros adentram a câmara dos Titãs. O que os espera lá é tudo o que resta da grande tecnologia dos Aghartianos. Esta batalha será um teste para eles, e não há mais como voltar agora. O tabuleiro está pronto. As peças, em jogo. Agora vejamos o que acontece e quem sairá vitorioso. A criança e seu Golem vão ajudar, e espero que assim que a batalha acabar, Gabriel tenha coragem de fazer o que é necessário. Necessário para que a nossa jornada seja bem-sucedida, pois há ainda a questão dos Senhores das Trevas, os quais têm poderes ainda mais terríveis.
Menu_Loading_2_10_black_knight	Uma grande vitória! Gabriel conquistou a confiança da garota. E juntos eles retêm um poder assustador. Ela é tão jovem, tão bonita. A vida é tão frágil aqui nos confins da humanidade, e ainda assim ela conseguiu sobreviver neste lugar implacável com a ajuda do seu Cavaleiro Negro protetor. O sono virá em breve para levá-los com ele. Cansados e exaustos eles descansam, mas esta noite o destino chamará mais uma vez, e temo que meu amigo nunca mais será o mesmo.
Menu_Loading_3_0_the_gauntlet	Os sonhos são um portal para a mente, e agora Gabriel paga um preço terrível por ter sucumbido ao cansaço. As muitas noites passadas em claro desde que lhe tomaram sua amada, o medo de pegar no sono, os pesadelos que o assombram: tudo desempenha um papel. Será que ele matou a pobrezinha? Ou há alguma outra explicação...? A dúvida o corrói agora, comendo sua própria alma. O Golem protegeu a criança por séculos, amava muito ela, e de forma alguma deixaria Gabriel viver sem desafiá-lo. Poucos homens conseguiriam prosseguir. A maioria abandonaria a busca, mas algo dentro dele o forçava a seguir sempre adiante. Uma força sombria tomou conta dele, e todas as criaturas da noite passarão a temê-lo agora!
Menu_Loading_3_3_the_dark_lord	Gabriel lutou longa e arduamente para chegar até aqui, e agora ele enfrenta seu mais difícil desafio. O Senhor dos Lycans deve ser derrotado se Gabriel espera ter alguma chance de trazer sua amada de volta. Temo que ele vá sofrer ainda mais do que ele imagina ao descobrir a verdade. Ainda assim, seu ódio e seu ardente desejo de vingança não podem ser subestimados. Ele tem a luva e a arma de Gandolfi. Ele é uma força com a qual até mesmo o Senhor dos Lycans terá dificuldade em lidar. Bom... logo ele vai superar esse mal. Em breve o mundo estará livre dos Senhores das Trevas, e planos sonhados há muito tempo poderão se tornar realidade. Vá, meu amigo... vá e destrua esta criatura de uma vez por todas.
Menu_Loading_4_1_fortress	O que está feito não pode ser desfeito. Cornell não mais existe. É uma pena que a irmandade da luz, ordem à qual nós dois pertencemos, seja também a razão pela qual o mundo está um caos. Gabriel, você provou seu valor, meu amigo. Você tem um pedaço da máscara de Deus. Dizem que essa relíquia pode trazer os mortos de volta à vida. Dizem que esta relíquia pode conferir um poder além da compreensão humana. Agora, com a ajuda do Deus antigo, ele vai em direção à terra dos Vampiros, ainda mais fundo no coração das trevas.
Menu_Loading_4_2_fortress_witch	É triste a história da Bruxa que guarda esta fortaleza. É uma triste história sobre um amor perdido. Uma história não muito diferente daquela vivida pelo nosso bravo herói. Pena, no entanto, é algo que ele não pode mais sentir. Ele é imune a ela. A pena por essas criaturas 'malignas' será deixada de lado em prol da vingança. Então adeus, outrora bela Malphas: você não incomodará mais a humanidade. E quando você desaparecer no vácuo saiba que foi o amor que, enfim, a destruiu.
Menu_Loading_5_1_dark_forest	Então parece que Pan salvou Gabriel mais uma vez: que sorte contar com sua chegada! Gabriel entra agora na periferia do território dos Vampiros. Um inverno gelado tem assolado está terra há anos, expulsando os habitantes para regiões de clima mais quente. Aqueles teimosos o bastante para ficar já se acostumaram com a fria morte que os visita todas as noites, levando para sempre seus entes queridos. Os Vampiros prosperam no frio e aterrorizam a vida daqueles que rogam por calor e companhia. Um guerreiro virá nesta noite. Um cavaleiro de armadura brilhante com a morte ao seu lado. Ele vem para pegá-las, criaturas da noite.
Menu_Loading_5_2_isolated_village	Esta aldeia é um dos últimos vestígios da civilização humana neste lugar de morte e frio. E ela não está muito longe do nosso próximo objetivo: o Castelo Vampiro. Tenho alguns assuntos a tratar aqui, assuntos que poderiam estragar os nossos planos. Vou tratar deles e tentar me reencontrar com Gabriel depois. Ele não tem dormido há dias desde que encontramos a garota. A dor ainda está estampada em seu rosto, e sua alma é movida apenas pelo ódio. Não falaremos sobre isso. Ele não deve saber que já percebi tudo, e que o segui até aqui.
Menu_Loading_5_4_abbey_catacombs	Nós mergulhamos nas profundezas da Abadia, prontos para lutar contra o mal que nos confronta. O abade, Vincent Dorin, foi um homem bom e gentil que ajudava o povo de Wygol. Mas agora ele se tornou um covarde desgarrado que se esconde na Abadia, cercado de armadilhas inteligentes. O povo, desprotegido, pagou um preço alto por sua traição. A noite caiu lá fora, e a qualquer momento estaremos vulneráveis aos ataques dos Vampiros. Temos de estar vigilantes. Precisamos trabalhar juntos se quisermos ter sucesso em obter a relíquia protegida pelo abade. Isso nos ajudará, e muito, a derrotar a horda vampírica mais tarde.
Menu_Loading_5_4_abbey_catacombs_a	As armadilhas espalhadas pelo abade são realmente complicadas, mas ainda assim conseguimos invadir os claustros interiores. A biblioteca está a um passo daqui, se não me falha a memória. Meu amigo parece cansado e preocupado. Com o peso do mundo sobre os ombros. Posso ver que ele está escondendo um segredo terrível dentro de si. Ele tenta enterrá-lo, mas então a raiva toma conta. Não podemos nos atrasar. Nós precisamos encontrar Dorin e tomar dele aquilo que precisamos antes que a culpa nos consuma. A necessidade de muitos sobrepuja a necessidade de poucos. Não podemos derramar nenhuma lágrima pelos mortos: temos que ser fortes e devemos destruir os Senhores das Trevas a qualquer custo.
Menu_Loading_5_8_abbey_tower	A torre na Abadia de Wygol era um lugar onde os homens de Deus buscavam conhecimento e protegiam as pessoas com o amor de Cristo. Agora ela é o refúgio de um homem enlouquecido pelo medo. Dorin abandonou seu povo à morte ou a ainda algo pior. Uma poderosa relíquia mantém os Vampiros à distância, e nós precisamos pegá-la se quisermos ter alguma chance contra os lacaios dos Senhores das Trevas. Conheço um caminho secreto que me levará até o topo da torre por um caminho diferente. Gabriel terá que encontrar seu próprio caminho agora.
Menu_Loading_5_2_isolated_village_a	O poder para derrotar os Vampiros está em nossas mãos. E aquele bastardo do Dorin já deve estar se explicando para Deus agora. Se alguém merecia morrer, esse alguém era ele. Ninguém vai derramar uma lágrima sequer por sua vida miserável. Outros tantos tiveram o mesmo destino por sua culpa. A busca está indo bem. Nós temos o que precisamos para enfrentar a Rainha dos Vampiros e sinto que Gabriel está determinado a enfrentá-la. Os Vampiros devem saber que temos a relíquia, e tenho certeza de que eles farão o que puderem para nos deter.
Menu_Loading_5_11_sewers	A aldeia Wygol está segura, por enquanto. Os Vampiros perderam um dos seus comandantes, Brauner, e a notícia chegará rapidamente até a Rainha dos Vampiros. Isso foi um duro golpe, mas eles não vão demorar muito a se reagrupar. Felizmente um dos aldeões nos revelou um caminho secreto para o castelo do demônio. O caminho vai levar Gabriel pelos esgotos e, então, direto para as presas da morte. Os aldeões o chamam de 'Salvador dos Deuses', e sua arma eles chamam de 'Matadora de Vampiros'. Ah, Gandolfi, como você ficaria contente. Quanto a mim, assim que eu acabar minha missão por aqui, seguirei meu amigo e o ajudarei no que eu puder.
